,Volcano Name,Eruption Type,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit,Year
8007,Etna,Confirmed Eruption,2,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1160
8008,Emuruangogolak,Confirmed Eruption,0,Kenya,Africa and Red Sea,Shield,1.5°N,36.33°E,1285,1160
8009,Taveuni,Confirmed Eruption,2,Fiji,New Zealand to Fiji,Shield,16.82°S,179.97°W,1241,1160
8010,Redoubt,Confirmed Eruption,0,United States,Alaska,Stratovolcano,60.485°N,152.742°W,3108,1160
8011,Pacaya,Confirmed Eruption,3,Guatemala,México and Central America,Complex,14.382°N,90.601°W,2569,1160
8012,Bardarbunga,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Stratovolcano,64.633°N,17.516°W,2000,1159
8013,Hekla,Confirmed Eruption,4,Iceland,Iceland and Arctic Ocean,Stratovolcano,63.983°N,19.666°W,1490,1158
8014,"Orizaba, Pico de",Uncertain Eruption,2,Mexico,México and Central America,Stratovolcano,19.03°N,97.27°W,5564,1157
8015,Etna,Confirmed Eruption,2,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1157
8016,Miyakejima,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",Stratovolcano,34.094°N,139.526°E,775,1154
8017,Krysuvik-Trolladyngja,Confirmed Eruption,1,Iceland,Iceland and Arctic Ocean,Crater rows,63.917°N,22.067°W,360,1151
8018,Darwin,Confirmed Eruption,0,Ecuador,South America,Shield,0.18°S,91.28°W,1330,1150
8019,Fernandina,Confirmed Eruption,0,Ecuador,South America,Shield,0.37°S,91.55°W,1476,1150
8020,Ecuador,Confirmed Eruption,0,Ecuador,South America,Shield,0.02°S,91.546°W,790,1150
8021,Grimsvotn,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Caldera,64.416°N,17.316°W,1719,1150
8022,Katla,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Subglacial,63.633°N,19.083°W,1490,1150
8023,Karymsky,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513,1150
8024,Cofre de Perote,Confirmed Eruption,2,Mexico,México and Central America,Compound,19.492°N,97.15°W,4282,1150
8025,Hualalai,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,Shield,19.692°N,155.87°W,2523,1150
8026,Mono Lake Volcanic Field,Confirmed Eruption,0,United States,Canada and Western USA,Pyroclastic cone,38°N,119.03°W,2121,1150
8027,Makushin,Confirmed Eruption,0,United States,Alaska,Stratovolcano,53.891°N,166.923°W,1800,1150
8028,Sheveluch,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.653°N,161.36°E,3283,1150
8029,Kanaga,Confirmed Eruption,0,United States,Alaska,Stratovolcano,51.923°N,177.168°W,1307,1150
8030,Vesuvius,Confirmed Eruption,3,Italy,Mediterranean and Western Asia,Stratovolcano,40.821°N,14.426°E,1281,1150
8031,Yasur,Confirmed Eruption,2,Vanuatu,Melanesia and Australia,Stratovolcano,19.532°S,169.447°E,361,1150
8032,Krakatau,Confirmed Eruption,0,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155,1150
8033,Merapi,Confirmed Eruption,0,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910,1140
8034,Kilauea,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,Shield,19.421°N,155.287°W,1222,1140
8035,Puyehue-Cordon Caulle,Confirmed Eruption,0,Chile,South America,Stratovolcano,40.59°S,72.117°W,2236,1140
8036,Vesuvius,Confirmed Eruption,3,Italy,Mediterranean and Western Asia,Stratovolcano,40.821°N,14.426°E,1281,1139
8037,Mauna Loa,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,Shield,19.475°N,155.608°W,4170,1130
8038,Cotopaxi,Confirmed Eruption,5,Ecuador,South America,Stratovolcano,0.677°S,78.436°W,5911,1130
8039,Baru,Confirmed Eruption,0,Panama,México and Central America,Stratovolcano,8.808°N,82.543°W,3474,1130
8040,Asamayama,Uncertain Eruption,0,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568,1128
8041,Redoubt,Confirmed Eruption,0,United States,Alaska,Stratovolcano,60.485°N,152.742°W,3108,1120
8042,Emuruangogolak,Confirmed Eruption,0,Kenya,Africa and Red Sea,Shield,1.5°N,36.33°E,1285,1120
8043,Aniakchak,Confirmed Eruption,0,United States,Alaska,Caldera,56.88°N,158.17°W,1341,1120
8044,Kirishimayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700,1113
8045,Izu-Oshima,Uncertain Eruption,0,Japan,"Japan, Taiwan, Marianas",Stratovolcano,34.724°N,139.394°E,746,1112
8046,Kirishimayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700,1112
8047,Nemrut Dagi,Confirmed Eruption,0,Turkey,Mediterranean and Western Asia,Stratovolcano,38.654°N,42.229°E,2948,1111
8048,Kuchinoerabujima,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Stratovolcano,30.443°N,130.217°E,657,1110
8049,Colima,Confirmed Eruption,0,Mexico,México and Central America,Stratovolcano,19.514°N,103.62°W,3850,1110
8050,Irazu,Confirmed Eruption,3,Costa Rica,México and Central America,Stratovolcano,9.979°N,83.852°W,3432,1110
8051,Sete Cidades,Confirmed Eruption,2,Portugal,Atlantic Ocean,Stratovolcano,37.865°N,25.785°W,842,1110
8052,Asamayama,Confirmed Eruption,5,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568,1108
8053,Hekla,Confirmed Eruption,5,Iceland,Iceland and Arctic Ocean,Stratovolcano,63.983°N,19.666°W,1490,1104
8054,Momotombo,Confirmed Eruption,0,Nicaragua,México and Central America,Stratovolcano,12.423°N,86.539°W,1270,1100
8055,Akita-Komagatake,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,39.761°N,140.799°E,1637,1100
8056,Avachinsky,Confirmed Eruption,0,Russia,Kamchatka and Mainland Asia,Stratovolcano,53.256°N,158.836°E,2717,1100
8057,Uinkaret Field,Confirmed Eruption,1,United States,Canada and Western USA,Volcanic field,36.38°N,113.13°W,1555,1100
8058,Kuchinoerabujima,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Stratovolcano,30.443°N,130.217°E,657,1100
8059,Lolobau,Confirmed Eruption,4,Papua New Guinea,Melanesia and Australia,Caldera,4.92°S,151.158°E,858,1100
8060,"Barrier, The",Confirmed Eruption,0,Kenya,Africa and Red Sea,Shield,2.32°N,36.57°E,1032,1090
8061,Merapi,Confirmed Eruption,0,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910,1090
8062,Grimsvotn,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Caldera,64.416°N,17.316°W,1719,1090
